id,q,r,temp_c,precip_mm,wind,wind_strength,rain_shadow,seasonality,season_label,water_code,water,river,major_river,lake,inland_sea,salt_pan,wetland,floodplain,ice,wt_depth_m,wt_class,soil,soil_code,vegetation,veg_code,climate_resource_tags,resources_merged,food_proxy,food,endorheic
H+00+00,0,0,6.04,909.7,ocean_westerly,0.92,False,0.2,maritime,1,ocean,False,False,False,False,False,False,False,False,0.0,dry,none/ocean,0,none/ocean,0,fisheries,fisheries,0.8,modest,False
H+01+00,1,0,6.04,907.6,ocean_westerly,0.916,False,0.2,maritime,1,ocean,False,False,False,False,False,False,False,False,0.0,dry,none/ocean,0,none/ocean,0,fisheries,fisheries,0.8,modest,False
H+02+00,2,0,6.04,905.8,ocean_westerly,0.913,False,0.2,maritime,1,ocean,False,False,False,False,False,False,False,False,0.0,dry,none/ocean,0,none/ocean,0,fisheries,fisheries,0.8,modest,False
H+03+00,3,0,6.03,905.0,ocean_westerly,0.904,False,0.2,maritime,1,ocean,False,False,False,False,False,False,False,False,0.0,dry,none/ocean,0,none/ocean,0,fisheries,fisheries,0.8,modest,False
H+04+00,4,0,6.03,907.6,ocean_westerly,0.893,False,0.2,maritime,1,ocean,False,False,False,False,False,False,False,False,0.0,dry,none/ocean,0,none/ocean,0,fisheries,fisheries,0.8,modest,False
H+05+00,5,0,6.02,918.9,ocean_westerly,0.884,False,0.2,maritime,1,ocean,False,False,False,False,False,False,False,False,0.0,dry,none/ocean,0,none/ocean,0,fisheries,fisheries,0.8,modest,False
H+06+00,6,0,6.0,922.8,ocean_westerly,0.88,False,0.2,maritime,1,ocean,False,False,False,False,False,False,False,False,0.0,dry,none/ocean,0,none/ocean,0,fisheries,fisheries,0.8,modest,False
H+07+00,7,0,5.99,920.5,ocean_westerly,0.877,False,0.2,maritime,1,ocean,False,False,False,False,False,False,False,False,0.0,dry,none/ocean,0,none/ocean,0,fisheries,fisheries,0.8,modest,False
H+08+00,8,0,5.98,923.2,ocean_westerly,0.873,False,0.2,maritime,1,ocean,False,False,False,False,False,False,False,False,0.0,dry,none/ocean,0,none/ocean,0,fisheries,fisheries,0.8,modest,False
H+09+00,9,0,5.99,919.5,ocean_westerly,0.955,False,0.2,maritime,1,ocean,False,False,False,False,False,False,False,False,0.0,dry,none/ocean,0,none/ocean,0,fisheries,fisheries,0.8,modest,False
H+10+00,10,0,6.01,903.0,ocean_westerly,0.779,False,0.2,maritime,1,ocean,False,False,False,False,False,False,False,False,0.0,dry,none/ocean,0,none/ocean,0,fisheries,fisheries,0.8,modest,False
H+11+00,11,0,6.05,886.3,ocean_westerly,0.847,False,0.2,maritime,1,ocean,False,False,False,False,False,False,False,False,0.0,dry,none/ocean,0,none/ocean,0,fisheries,fisheries,0.8,modest,False
H+12+00,12,0,6.11,882.4,ocean_westerly,0.842,False,0.2,maritime,1,ocean,False,False,False,False,False,False,False,False,0.0,dry,none/ocean,0,none/ocean,0,fisheries,fisheries,0.8,modest,False
H+13+00,13,0,6.17,885.1,ocean_westerly,0.836,False,0.2,maritime,1,ocean,False,False,False,False,False,False,False,False,0.0,dry,none/ocean,0,none/ocean,0,fisheries,fisheries,0.8,modest,False
H+14+00,14,0,6.23,862.9,ocean_westerly,0.83,False,0.2,maritime,1,ocean,False,False,False,False,False,False,False,False,0.0,dry,none/ocean,0,none/ocean,0,fisheries,fisheries,0.8,modest,False
