id,q,r,elevation_m,slope,lithology,mountain_type,glacial_scar,glacial,endorheic,geology_resource_tag,plate,land
H+00+00,0,0,-242,0.121,oceanic_basalt,none,,false,false,,0,0
H+01+00,1,0,-239,0.28,oceanic_basalt,none,,false,false,,0,0
H+02+00,2,0,-230,0.28,oceanic_basalt,none,,false,false,,0,0
H+03+00,3,0,-224,0.221,oceanic_basalt,none,,false,false,,0,0
H+04+00,4,0,-226,0.215,oceanic_basalt,none,,false,false,,0,0
H+05+00,5,0,-232,0.215,oceanic_basalt,none,,false,false,,0,0
H+06+00,6,0,-234,0.149,oceanic_basalt,none,,false,false,,0,0
H+07+00,7,0,-229,0.258,oceanic_basalt,none,,false,false,,0,0
H+08+00,8,0,-222,4.349,oceanic_basalt,none,,false,false,,0,0
H+09+00,9,0,-91,4.539,oceanic_basalt,none,,false,false,,0,0
H+10+00,10,0,-223,4.388,oceanic_basalt,none,,false,false,,0,0
H+11+00,11,0,-224,0.102,oceanic_basalt,none,,false,false,,0,0
H+12+00,12,0,-223,0.156,oceanic_basalt,none,,false,false,,0,0
H+13+00,13,0,-222,0.168,oceanic_basalt,none,,false,false,,0,0
H+14+00,14,0,-219,5.321,oceanic_basalt,none,,false,false,,0,0
H+15+00,15,0,-215,5.214,oceanic_basalt,none,,false,false,,0,0
H+16+00,16,0,-72,5.515,oceanic_basalt,none,,false,false,,0,0
H+17+00,17,0,93,5.515,coastal_sediment,none,rebound_coast,true,false,,0,1
H+18+00,18,0,101,0.539,coastal_sediment,none,rebound_coast,true,false,,0,1
H+19+00,19,0,117,0.539,coastal_sediment,none,rebound_coast,true,false,,0,1
H+20+00,20,0,121,0.284,coastal_sediment,none,rebound_coast,true,false,,0,1
H+21+00,21,0,124,0.22,coastal_sediment,none,rebound_coast,true,false,,0,1
H+22+00,22,0,123,0.49,coastal_sediment,none,rebound_coast,true,false,,0,1
H+23+00,23,0,128,0.728,coastal_sediment,none,rebound_coast,true,false,,0,1
H+24+00,24,0,150,3.438,suture_metamorphic,collision,rebound_coast,true,false,,0,1
H+25+00,25,0,253,4.526,suture_metamorphic,collision,moraine,true,false,,0,1
H+26+00,26,0,389,5.547,suture_metamorphic,collision,moraine,true,false,,0,1
H+27+00,27,0,555,6.514,suture_metamorphic,collision,moraine,true,false,,0,1
H+28+00,28,0,750,7.928,suture_metamorphic,collision,moraine,true,false,,0,1
H+29+00,29,0,988,7.928,suture_metamorphic,collision,scoured_craton,true,false,,0,1
H+30+00,30,0,1206,9.602,suture_metamorphic,collision,none,false,false,,0,1
H+31+00,31,0,1495,9.938,suture_metamorphic,collision,none,false,false,,0,1
H+32+00,32,0,1793,10.109,suture_metamorphic,collision,none,false,false,limestone_karst,0,1
H+33+00,33,0,2096,10.109,suture_metamorphic,collision,none,false,false,,1,1
H+34+00,34,0,1905,9.738,suture_metamorphic,collision,none,false,false,,1,1
H+35+00,35,0,1613,9.835,suture_metamorphic,collision,none,false,false,,1,1
H+36+00,36,0,1345,9.338,suture_metamorphic,collision,none,false,false,,1,1
H+37+00,37,0,1139,7.77,suture_metamorphic,collision,scoured_craton,true,false,,1,1
H+38+00,38,0,906,7.77,suture_metamorphic,collision,scoured_craton,true,false,limestone_karst,1,1
H+39+00,39,0,688,7.444,suture_metamorphic,collision,moraine,true,false,,1,1
H+40+00,40,0,486,7.169,suture_metamorphic,collision,moraine,true,false,,1,1
H+41+00,41,0,311,6.505,suture_metamorphic,collision,outwash,true,false,,1,1
H+42+00,42,0,184,5.024,suture_metamorphic,collision,none,false,false,,1,1
