id,terrain,water,food,resources,settle_score,why,q,r,elev_m,slope,precip,temp_c,soil,vegetation,rock
H+00+00,ocean,ocean,modest,fish,none,ocean,0,0,-242.0,0.12,1010.7,6.04,none/ocean,none/ocean,Oceanic basalt
H+01+00,ocean,ocean,modest,fish,none,ocean,1,0,-239.0,0.28,1011.0,6.04,none/ocean,none/ocean,Oceanic basalt
H+02+00,ocean,ocean,modest,fish,none,ocean,2,0,-230.0,0.28,1011.5,6.04,none/ocean,none/ocean,Oceanic basalt
H+03+00,ocean,ocean,modest,fish,none,ocean,3,0,-224.0,0.22,1013.2,6.03,none/ocean,none/ocean,Oceanic basalt
H+04+00,ocean,ocean,modest,fish,none,ocean,4,0,-226.0,0.21,1018.7,6.03,none/ocean,none/ocean,Oceanic basalt
H+05+00,ocean,ocean,modest,fish,none,ocean,5,0,-232.0,0.21,1034.0,6.02,none/ocean,none/ocean,Oceanic basalt
H+06+00,ocean,ocean,modest,fish,none,ocean,6,0,-234.0,0.15,1041.1,6.0,none/ocean,none/ocean,Oceanic basalt
H+07+00,ocean,ocean,modest,fish,none,ocean,7,0,-229.0,0.26,1041.1,5.99,none/ocean,none/ocean,Oceanic basalt
H+08+00,ocean,ocean,modest,fish,none,ocean,8,0,-222.0,4.35,1046.7,5.98,none/ocean,none/ocean,Oceanic basalt
H+09+00,ocean,ocean,modest,fish,none,ocean,9,0,-91.0,4.54,1045.2,5.99,none/ocean,none/ocean,Oceanic basalt
H+10+00,ocean,ocean,modest,fish,none,ocean,10,0,-223.0,4.39,1029.1,6.01,none/ocean,none/ocean,Oceanic basalt
H+11+00,ocean,ocean,modest,fish,none,ocean,11,0,-224.0,0.1,1012.7,6.05,none/ocean,none/ocean,Oceanic basalt
H+12+00,ocean,ocean,modest,fish,none,ocean,12,0,-223.0,0.16,1010.8,6.11,none/ocean,none/ocean,Oceanic basalt
H+13+00,ocean,ocean,modest,fish,none,ocean,13,0,-222.0,0.17,1016.4,6.17,none/ocean,none/ocean,Oceanic basalt
H+14+00,ocean,ocean,modest,fish,none,ocean,14,0,-219.0,5.32,993.4,6.23,none/ocean,none/ocean,Oceanic basalt
H+15+00,ocean,ocean,modest,fish,none,ocean,15,0,-215.0,5.21,952.7,6.29,none/ocean,none/ocean,Oceanic basalt
H+16+00,ocean,ocean,modest,fish,none,ocean,16,0,-72.0,5.51,923.6,6.35,none/ocean,none/ocean,Oceanic basalt
H+17+00,boreal,none,modest,timber|clay,farmstead,"adequate food, route access",17,0,93.0,5.51,835.7,5.8,glacial till,boreal forest,Coastal sediment
H+18+00,boreal,none,modest,timber|clay,farmstead,"adequate food, route access",18,0,101.0,0.54,839.0,5.81,glacial till,boreal forest,Coastal sediment
