id,terrain,water,food,resources,settle_score,why,q,r,elev_m,slope,precip,temp_c,soil,vegetation,rock,endorheic,glacial_scar,wt_class,wt_depth_m,wind,rain_shadow,dry_interior,season_label,climate_resource_tags
H+00+00,ocean,ocean,modest,fisheries,none,ocean,0,0,-242.16,0.121,909.7,6.04,none/ocean,none/ocean,Oceanic basalt,False,,dry,0.0,ocean_westerly,False,False,maritime,fisheries
H+01+00,ocean,ocean,modest,fisheries,none,ocean,1,0,-238.52,0.28,907.6,6.04,none/ocean,none/ocean,Oceanic basalt,False,,dry,0.0,ocean_westerly,False,False,maritime,fisheries
H+02+00,ocean,ocean,modest,fisheries,none,ocean,2,0,-230.12,0.28,905.8,6.04,none/ocean,none/ocean,Oceanic basalt,False,,dry,0.0,ocean_westerly,False,False,maritime,fisheries
H+03+00,ocean,ocean,modest,fisheries,none,ocean,3,0,-224.38,0.221,905.0,6.03,none/ocean,none/ocean,Oceanic basalt,False,,dry,0.0,ocean_westerly,False,False,maritime,fisheries
H+04+00,ocean,ocean,modest,fisheries,none,ocean,4,0,-225.68,0.215,907.6,6.03,none/ocean,none/ocean,Oceanic basalt,False,,dry,0.0,ocean_westerly,False,False,maritime,fisheries
H+05+00,ocean,ocean,modest,fisheries,none,ocean,5,0,-232.15,0.215,918.9,6.02,none/ocean,none/ocean,Oceanic basalt,False,,dry,0.0,ocean_westerly,False,False,maritime,fisheries
H+06+00,ocean,ocean,modest,fisheries,none,ocean,6,0,-233.87,0.149,922.8,6.0,none/ocean,none/ocean,Oceanic basalt,False,,dry,0.0,ocean_westerly,False,False,maritime,fisheries
H+07+00,ocean,ocean,modest,fisheries,none,ocean,7,0,-229.41,0.258,920.5,5.99,none/ocean,none/ocean,Oceanic basalt,False,,dry,0.0,ocean_westerly,False,False,maritime,fisheries
H+08+00,ocean,ocean,modest,fisheries,none,ocean,8,0,-221.66,4.349,923.2,5.98,none/ocean,none/ocean,Oceanic basalt,False,,dry,0.0,ocean_westerly,False,False,maritime,fisheries
H+09+00,ocean,ocean,modest,fisheries,none,ocean,9,0,-91.18,4.539,919.5,5.99,none/ocean,none/ocean,Oceanic basalt,False,,dry,0.0,ocean_westerly,False,False,maritime,fisheries
